*** Configuration ***

Trigger: G-switch,
Smart Recovery option enabled with altitude setting of 3019 ft
Timed recovery set at 25 sec (drogue) and 0 sec (main)
Data is sampled at 200 Hz
Inputs that were sampled: Acceleration, Pressure, the digital inputs

This data was generated with version 4,2 of the RDAS windows software,
and downloaded from an RDAS board with firmware version 3,1


*** Interpreted data ***

   Time  Acc [G]  Alt [ft]  Dig
 -2,000      1,1        -7 000F
 -1,995      1,0        -7 000F
 -1,990      1,0        -7 000F
 -1,985      0,9        18 000F
 -1,980      1,0        -7 000F
 -1,975      0,9        -7 000F
 -1,970      0,7        -7 000F
 -1,965      0,9        -7 000F
 -1,960      1,1        -7 000F
 -1,955      1,1        -7 000F
 -1,950      1,1        -7 000F
 -1,945      1,0        -7 000F
 -1,940      0,9        18 000F
 -1,935      0,9        -7 000F
 -1,930      0,9        -7 000F
 -1,925      1,0        -7 000F
 -1,920      1,2        -7 000F
 -1,915      1,1        -7 000F
 -1,910      1,1        -7 000F
 -1,905      1,0        -7 000F
 -1,900      0,9        18 000F
 -1,895      0,9        -7 000F
 -1,890      0,9        18 000F
 -1,885      1,1        -7 000F
 -1,880      1,1        -7 000F
 -1,875      1,0        -7 000F
 -1,870      0,9        -7 000F
 -1,865      0,9        18 000F
 -1,860      1,0        -7 000F
 -1,855      1,0        18 000F
 -1,850      1,1        -7 000F
 -1,845      1,1        -7 000F
 -1,840      1,0        -7 000F
 -1,835      1,0        -7 000F
 -1,830      0,7        18 000F
 -1,825      1,0        -7 000F
 -1,820      1,1        -7 000F
 -1,815      0,9        -7 000F
 -1,810      1,0        -7 000F
 -1,805      1,0        -7 000F
 -1,800      0,9        -7 000F
 -1,795      0,9        18 000F
 -1,790      1,0        18 000F
 -1,785      1,0        18 000F
 -1,780      1,0        -7 000F
 -1,775      1,1        -7 000F
 -1,770      1,0        -7 000F
 -1,765      0,7        -7 000F
 -1,760      0,9        -7 000F
 -1,755      1,0        -7 000F
 -1,750      1,1        -7 000F
 -1,745      1,0        -7 000F
 -1,740      0,9        -7 000F
 -1,735      1,0        18 000F
 -1,730      0,9        -7 000F
 -1,725      1,1        -7 000F
 -1,720      0,9        -7 000F
 -1,715      0,9        18 000F
 -1,710      0,7        -7 000F
 -1,705      0,9        -7 000F
 -1,700      1,0        -7 000F
 -1,695      0,9        -7 000F
 -1,690      0,9        -7 000F
 -1,685      1,0        -7 000F
 -1,680      1,1        18 000F
 -1,675      1,0        18 000F
 -1,670      1,0        18 000F
 -1,665      1,0        -7 000F
 -1,660      0,9        18 000F
 -1,655      1,1        -7 000F
 -1,650      1,1        18 000F
 -1,645      1,2        -7 000F
 -1,640      1,1        -7 000F
 -1,635      1,1        -7 000F
 -1,630      1,1        18 000F
 -1,625      1,1        18 000F
 -1,620      1,1        -7 000F
 -1,615      1,2        18 000F
 -1,610      1,1        18 000F
 -1,605      1,1        -7 000F
 -1,600      1,1        18 000F
 -1,595      1,0        -7 000F
 -1,590      1,1        -7 000F
 -1,585      1,1        18 000F
 -1,580      1,1        -7 000F
 -1,575      1,0        -7 000F
 -1,570      0,9        -7 000F
 -1,565      1,0        -7 000F
 -1,560      1,0        -7 000F
 -1,555      0,9        -7 000F
 -1,550      0,9        18 000F
 -1,545      1,0        -7 000F
 -1,540      1,0        18 000F
 -1,535      1,0        -7 000F
 -1,530      1,0        -7 000F
 -1,525      1,0        18 000F
 -1,520      1,2        18 000F
 -1,515      1,2        -7 000F
 -1,510      1,2        -7 000F
 -1,505      1,0        -7 000F
 -1,500      1,2        18 000F
 -1,495      1,0        -7 000F
 -1,490      0,9        -7 000F
 -1,485      0,9        -7 000F
 -1,480      1,0        18 000F
 -1,475      1,0        -7 000F
 -1,470      1,0        -7 000F
 -1,465      1,2        18 000F
 -1,460      1,0        -7 000F
 -1,455      1,2        -7 000F
 -1,450      1,0        -7 000F
 -1,445      0,9        18 000F
 -1,440      1,0        -7 000F
 -1,435      0,9        -7 000F
 -1,430      1,0        18 000F
 -1,425      1,1        -7 000F
 -1,420      1,2        -7 000F
 -1,415      0,9        18 000F
 -1,410      1,0        18 000F
 -1,405      1,1        -7 000F
 -1,400      1,0        -7 000F
 -1,395      0,9        -7 000F
 -1,390      1,1        18 000F
 -1,385      1,0        18 000F
 -1,380      1,1        -7 000F
 -1,375      1,0        -7 000F
 -1,370      0,9        -7 000F
 -1,365      1,0        18 000F
 -1,360      1,0        18 000F
 -1,355      1,0        -7 000F
 -1,350      1,2        -7 000F
 -1,345      1,0        -7 000F
 -1,340      1,0        18 000F
 -1,335      0,9        -7 000F
 -1,330      1,0        -7 000F
 -1,325      1,0        -7 000F
 -1,320      1,1        -7 000F
 -1,315      0,9        -7 000F
 -1,310      1,0        -7 000F
 -1,305      0,9        -7 000F
 -1,300      0,9        -7 000F
 -1,295      0,9        -7 000F
 -1,290      1,0        -7 000F
 -1,285      1,1        18 000F
 -1,280      1,2        -7 000F
 -1,275      1,0        -7 000F
 -1,270      0,9        -7 000F
 -1,265      0,7        18 000F
 -1,260      1,0        -7 000F
 -1,255      1,0        -7 000F
 -1,250      1,2        -7 000F
 -1,245      1,1        18 000F
 -1,240      1,0        18 000F
 -1,235      1,1        -7 000F
 -1,230      1,0        -7 000F
 -1,225      1,0        -7 000F
 -1,220      1,1        -7 000F
 -1,215      0,9        -7 000F
 -1,210      1,1        18 000F
 -1,205      1,0        -7 000F
 -1,200      0,9        -7 000F
 -1,195      1,0        -7 000F
 -1,190      1,0        -7 000F
 -1,185      0,9        -7 000F
 -1,180      1,0        18 000F
 -1,175      1,0        18 000F
 -1,170      1,1        18 000F
 -1,165      1,1        18 000F
 -1,160      1,1        18 000F
 -1,155      0,9        -7 000F
