Trigger: G-switch.
Smart Recovery option enabled with altitude setting of 685 ft.
Timed recovery set at 16 sec (drogue) and 0 sec (main).
Data is sampled at 200 Hz.
Inputs that were sampled: Acceleration, Pressure, the digital inputs, ADC0, ADC1, ADC2, ADC3.
This data was generated with version 4.2 of the RDAS windows software,
and downloaded from an RDAS board with firmware version 3.1
  Acc [G]  Alt [ft] 
      1.1        -6 
      0.9        -6 
      0.9        -6 
      1.0        -6 
      0.9        -6 
      1.1        -6 
      1.2        -6 
      0.9        -6 
      1.1        -6 
      1.1        -6 
      1.0        18 
      1.1        -6 
      1.1        -6 
      0.9        -6 
      0.9        -6 
      1.1        18 
      1.1        -6 
      1.0        -6 
      1.0        -6 
      1.1        18 
      1.0        -6 
      1.0        18 
      1.1        -6 
      0.9        -6 
      1.2        -6 
      1.0        -6 
      0.9        -6 
      1.0        -6 
      0.9        -6 
      1.0        18 
      1.1        -6 
      1.1        18 
      0.9        18 
      1.0        -6 
      1.1        -6 
      1.0        18 
      1.1        -6 
      1.0        -6 
      0.9        18 
      0.9        -6 
      1.1        -6 
      0.9        -6 
      0.9        -6 
      1.1        -6 
      1.1        -6 
      1.0        -6 
      1.1        -6 
      1.0        -6 
      0.7        -6 
      1.2        -6 
      1.1        -6 
      1.0        -6 
      1.0        -6 
      0.9        -6 
      0.9        -6 
      1.0        18 
      1.1        -6 
      0.9        -6 
      1.2        -6 
      1.1        -6 
      0.9        -6 
      1.0        18 
      1.0        18 
      1.0        -6 
      1.1        18 
      1.1        18 
      0.9        18 
      1.0        18 
      1.1        18 
      1.0        18 
      1.2        18 
      1.1        -6 
      0.9        18 
      0.7        18 
      1.1        -6 
      1.0        -6 
      1.1        -6 
      1.0        -6 
      1.0        -6 
      1.2        -6 
      1.0        -6 
      0.9        -6 
      0.9        -6 
      1.1        18 
      1.1        -6 
      1.1        -6 
      1.0        -6 
      0.9        -6 
      0.9        -6 
      1.1        -6 
      1.1        -6 
      1.0        -6 
      1.0        -6 
      0.9        18 
      0.9        -6 
      1.0        -6 
      0.9        -6 
      0.9        -6 
      1.1        18 
      1.2        -6 
      0.9        -6 
      1.1        -6 
      0.9        -6 
      0.9        -6 
      1.1        -6 
      1.0        -6 
      0.9        -6 
      1.0        -6 
      1.0        18 
      1.0        -6 
      0.9        18 
      1.1        18 
      1.0        18 
      0.9        -6 
      1.0        18 
      1.0        -6 
      0.9        18 
      0.9        -6 
      1.1        -6 
      1.1        -6 
      1.1        18 
      1.0        -6 
      1.0        -6 
      1.0        18 
      1.0        -6 
      1.1        18 
      0.9        -6 
      1.0        -6 
      0.9        -6 
      1.0        -6 
      1.0        -6 
      0.9        18 
      1.1        18 
      1.1        -6 
      1.1        -6 
      1.0        18 
      1.2        -6 
      1.2        -6 
      1.0        -6 
      0.9        18 
      1.1        -6 
      1.1        -6 
      0.9        -6 
      0.9        -6 
      1.1        18 
      1.1        18 
      1.0        -6 
      0.7        18 
      1.0        -6 
      0.9        18 
      1.1        18 
      0.7        -6 
      1.1        -6 
      1.0        -6 
      1.0        -6 
      0.9        -6 
      0.9        -6 
      1.1        18 
      1.1        -6 
      1.1        18 
      0.9        -6 
      1.2        18 
      1.2        -6 
      1.0        18 
      1.0        -6 
      1.1        18 
      1.1        18 
      1.0        -6 
      1.0        -6 
      1.0        -6 
      1.1        -6 
      1.0        -6 
      0.9        -6 
      1.1        18 
      1.1        18 
      0.9        18 
      1.1        -6 
      1.1        -6 
      1.0        -6 
      1.0        18 
      1.0        -6 
      0.9        18 
      0.9        -6 
      1.2        -6 
      0.7        -6 
      0.9        -6 
      1.0        -6 
      1.0        -6 
      1.2        -6 
      1.1        -6 
      0.9        18 
      1.0        -6 
      1.0        18 
      1.0        -6 
      1.1        -6 
      1.1        18 
      1.0        -6 
      1.2        18 
      1.0        -6 
      0.9        18 
      1.0        -6 
      1.0        -6 
      1.0        18 
      1.0        -6 
      1.1        18 
      1.2        18 
      0.7        -6 
      1.1        -6 
      1.1        -6 
      1.0        -6 
      1.0        -6 
      0.9        -6 
      0.9        18 
      1.0        18 
      0.9        -6 
      0.9        -6 
      1.0        -6 
      1.1        -6 
      1.0        18 
      1.0        -6 
      0.9        -6 
      0.7        18 
      1.1        -6 
      1.1        -6 
      1.0        -6 
      1.0        -6 
      1.0        18 
      0.9        -6 
      1.2        18 
      1.1        -6 
      0.9        -6 
      1.0        -6 
      0.9        18 
      0.9        18 
      0.9        18 
      1.0        18 
      1.0        -6 
      1.1        18 
      1.0        -6 
      1.0        18 
      1.0        -6 
      1.0        -6 
      1.0        -6 
      1.0        -6 
      1.1        -6 
      1.0        -6 
      0.9        18 
      1.0        -6 
      1.0        18 
      1.2        -6 
      1.1        -6 
      0.9        18 
      0.9        -6 
      1.0        -6 
      0.9        -6 
      1.0        -6 
      1.1        -6 
      1.0        -6 
      1.0        18 
      1.1        -6 
      0.9        -6 
      0.7        -6 
      1.1        18 
      0.9        -6 
      1.0        -6 
      1.1        -6 
      1.1        -6 
      1.0        -6 
      1.1        18 
      1.1        -6 
      1.0        18 
      1.0        18 
      0.9        -6 
      0.9        18 
      1.1        18 
      0.9        -6 
      0.9        18 
      1.1        -6 
      1.1        18 
      1.0        -6 
      1.0        -6 
      0.9        18 
      0.9        -6 
      1.1        -6 
      1.1        18 
      1.1        -6 
      1.1        -6 
      1.2        -6 
      0.9        -6 
      1.2        -6 
      1.1        18 
      0.9        -6 
      1.0        -6 
      1.1        -6 
      0.9        18 
      0.9        -6 
      0.9        -6 
      1.0        -6 
      1.0        -6 
      1.1        18 
      0.9        18 
      1.0        18 
      1.0        18 
      0.9        -6 
      0.7        -6 
      1.1        -6 
      0.9        18 
      1.0        18 
      1.1        18 
      1.0        -6 
      1.0        -6 
      1.1        18 
      1.0        -6 
      1.1        18 
