acce(G)   alt(m) 
1.1        -7 
1.0        -7 
1.0        -7 
0.9        18 
1.0        -7 
0.9        -7 
0.7        -7 
0.9        -7 
1.1        -7 
1.1        -7 
1.1        -7 
1.0        -7 
0.9        18 
0.9        -7 
0.9        -7 
1.0        -7 
1.2        -7 
1.1        -7 
1.1        -7 
1.0        -7 
0.9        18 
0.9        -7 
0.9        18 
1.1        -7 
1.1        -7 
1.0        -7 
0.9        -7 
0.9        18 
1.0        -7 
1.0        18 
1.1        -7 
1.1        -7 
1.0        -7 
1.0        -7 
0.7        18 
1.0        -7 
1.1        -7 
0.9        -7 
1.0        -7 
1.0        -7 
0.9        -7 
0.9        18 
1.0        18 
1.0        18 
1.0        -7 
1.1        -7 
1.0        -7 
0.7        -7 
0.9        -7 
1.0        -7 
1.1        -7 
1.0        -7 
0.9        -7 
1.0        18 
0.9        -7 
1.1        -7 
0.9        -7 
0.9        18 
0.7        -7 
0.9        -7 
1.0        -7 
0.9        -7 
0.9        -7 
1.0        -7 
1.1        18 
1.0        18 
1.0        18 
1.0        -7 
0.9        18 
1.1        -7 
1.1        18 
1.2        -7 
1.1        -7 
1.1        -7 
1.1        18 
1.1        18 
1.1        -7 
1.2        18 
1.1        18 
1.1        -7 
1.1        18 
1.0        -7 
1.1        -7 
1.1        18 
1.1        -7 
1.0        -7 
0.9        -7 
1.0        -7 
1.0        -7 
0.9        -7 
0.9        18 
1.0        -7 
1.0        18 
1.0        -7 
1.0        -7 
1.0        18 
1.2        18 
1.2        -7 
1.2        -7 
1.0        -7 
1.2        18 
1.0        -7 
0.9        -7 
0.9        -7 
1.0        18 
1.0        -7 
1.0        -7 
1.2        18 
1.0        -7 
1.2        -7 
1.0        -7 
0.9        18 
1.0        -7 
0.9        -7 
1.0        18 
1.1        -7 
1.2        -7 
0.9        18 
1.0        18 
1.1        -7 
1.0        -7 
0.9        -7 
1.1        18 
1.0        18 
1.1        -7 
1.0        -7 
0.9        -7 
1.0        18 
1.0        18 
1.0        -7 
1.2        -7 
1.0        -7 
1.0        18 
0.9        -7 
1.0        -7 
1.0        -7 
1.1        -7 
0.9        -7 
1.0        -7 
0.9        -7 
0.9        -7 
0.9        -7 
1.0        -7 
1.1        18 
1.2        -7 
1.0        -7 
0.9        -7 
0.7        18 
1.0        -7 
1.0        -7 
1.2        -7 
1.1        18 
1.0        18 
1.1        -7 
1.0        -7 
1.0        -7 
1.1        -7 
0.9        -7 
1.1        18 
1.0        -7 
0.9        -7 
1.0        -7 
1.0        -7 
0.9        -7 
1.0        18 
1.0        18 
1.1        18 
1.1        18 
1.1        18 
0.9        -7 
0.7        -7 
1.0        -7 
1.0        18 
1.1        -7 
1.1        18 
1.1        18 
0.9        18 
1.0        -7 
0.9        -7 
1.1        18 
0.7        -7 
1.0        18 
1.0        -7 
0.9        18 
1.1        -7 
0.9        -7 
1.0        18 
1.0        -7 
1.2        -7 
1.0        -7 
1.0        -7 
0.7        18 
1.0        -7 
1.1        -7 
1.1        18 
1.2        -7 
1.0        -7 
0.9        -7 
1.0        -7 
1.0        18 
1.1        -7 
1.1        -7 
1.0        -7 
0.9        -7 
1.0        -7 
0.9        -7 
1.1        -7 
1.2        18 
1.1        -7 
1.0        -7 
1.1        -7 
1.1        -7 
1.1        -7 
0.9        -7 
0.7        -7 
0.9        -7 
0.9        18 
1.2        -7 
1.2        18 
1.0        -7 
0.7        18 
0.9        18 
1.0        -7 
1.0        -7 
1.1        18 
1.1        -7 
0.9        18 
1.0        18 
0.9        -7 
1.0        -7 
1.0        18 
1.1        18 
1.1        -7 
0.9        -7 
1.0        18 
0.9        18 
0.9        -7 
1.2        18 
1.0        -7 
1.0        18 
0.9        -7 
1.0        -7 
0.7        -7 
1.1        -7 
1.0        -7 
0.9        18 
1.0        -7 
0.9        -7 
0.9        -7 
1.0        -7 
1.0        18 
1.2        -7 
1.1        -7 
1.0        -7 
0.9        -7 
0.7        -7 
0.9        -7 
1.0        -7 
1.0        -7 
1.0        -7 
1.0        18 
1.0        -7 
1.0        -7 
1.0        -7 
0.7        18 
0.9        18 
1.1        -7 
1.2        -7 
1.1        -7 
1.0        -7 
0.9        -7 
0.9        -7 
1.0        -7 
1.1        -7 
1.0        -7 
1.2        -7 
1.0        -7 
0.9        -7 
1.0        -7 
1.0        -7 
1.2        -7 
1.1        -7 
1.0        -7 
0.9        -7 
0.9        18 
0.9        -7 
